year_month,domestic_consumption,import_volume,export_volume,stock,exchange_rate_usd,china_pmi,thai_price,oil_price_thb,world_price_thb_kg,month,quarter,year,is_season,thai_price_lag6,thai_price_lag12,world_price_thb_kg_lag6,world_price_thb_kg_lag12,oil_price_thb_lag6,oil_price_thb_lag12,china_pmi_lag6,china_pmi_lag12,stock_lag6,stock_lag12,thai_price_ma6,thai_price_std6,thai_price_ma12,thai_price_std12,world_price_thb_kg_ma6,world_price_thb_kg_std6,world_price_thb_kg_ma12,world_price_thb_kg_std12,oil_price_thb_ma6,oil_price_thb_std6,oil_price_thb_ma12,oil_price_thb_std12,china_pmi_ma6,china_pmi_std6,china_pmi_ma12,china_pmi_std12,thai_price_pct6,thai_price_pct12,world_price_thb_kg_pct6,world_price_thb_kg_pct12,oil_price_thb_pct6,oil_price_thb_pct12,exchange_rate_usd_pct6,exchange_rate_usd_pct12
2007-01,30652000,55000,267567000.0,280671000.0,36.18,54.8,65.12,2103.5052,75.16825965472428,1,1,2007,0,64.95041666666667,64.78399999999999,74.95739471601259,74.72586819236214,2408.1323013425927,2406.2972573571433,50.975462962962965,51.00904761904763,544172046.2962962,536093680.95238096,70.34333333333333,2.8967614100347747,69.52833333333334,4.389460172511034,79.07682842079952,2.85899144510484,78.172011058037,4.593559641240972,2261.2823000000003,113.38865715239764,2583.5011666666664,399.9577525578858,55.56666666666666,1.8107088851239064,54.99166666666667,1.5687043486053496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02,26790000,44000,237979000.0,249005000.0,35.75,55.1,72.91,2208.9925,81.465324923125,2,1,2007,0,64.95041666666667,64.78399999999999,74.95739471601259,74.72586819236214,2408.1323013425927,2406.2972573571433,50.975462962962965,51.00904761904763,544172046.2962962,536093680.95238096,70.34333333333333,2.8967614100347747,69.52833333333334,4.389460172511034,79.07682842079952,2.85899144510484,78.172011058037,4.593559641240972,2261.2823000000003,113.38865715239764,2583.5011666666664,399.9577525578858,55.56666666666666,1.8107088851239064,54.99166666666667,1.5687043486053496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03,31717000,119000,230410000.0,217339000.0,35.06,53.1,69.62,2309.4022000000004,78.6260616030648,3,1,2007,0,64.95041666666667,64.78399999999999,74.95739471601259,74.72586819236214,2408.1323013425927,2406.2972573571433,50.975462962962965,51.00904761904763,544172046.2962962,536093680.95238096,70.34333333333333,2.8967614100347747,69.52833333333334,4.389460172511034,79.07682842079952,2.85899144510484,78.172011058037,4.593559641240972,2261.2823000000003,113.38865715239764,2583.5011666666664,399.9577525578858,55.56666666666666,1.8107088851239064,54.99166666666667,1.5687043486053496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04,27788000,184000,180185000.0,178575000.0,34.87,56.1,72.84,2291.3077,80.90712148843059,4,2,2007,0,64.95041666666667,64.78399999999999,74.95739471601259,74.72586819236214,2408.1323013425927,2406.2972573571433,50.975462962962965,51.00904761904763,544172046.2962962,536093680.95238096,70.34333333333333,2.8967614100347747,69.52833333333334,4.389460172511034,79.07682842079952,2.85899144510484,78.172011058037,4.593559641240972,2261.2823000000003,113.38865715239764,2583.5011666666664,399.9577525578858,55.56666666666666,1.8107088851239064,54.99166666666667,1.5687043486053496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05,32905000,91000,178103000.0,209215000.0,34.62,58.6,71.47,2216.0262,82.00404866619239,5,2,2007,1,64.95041666666667,64.78399999999999,74.95739471601259,74.72586819236214,2408.1323013425927,2406.2972573571433,50.975462962962965,51.00904761904763,544172046.2962962,536093680.95238096,70.34333333333333,2.8967614100347747,69.52833333333334,4.389460172511034,79.07682842079952,2.85899144510484,78.172011058037,4.593559641240972,2261.2823000000003,113.38865715239764,2583.5011666666664,399.9577525578858,55.56666666666666,1.8107088851239064,54.99166666666667,1.5687043486053496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06,32379000,239000,192376000.0,166030000.0,34.5,55.7,70.1,2438.46,76.29015418926,6,2,2007,1,64.95041666666667,64.78399999999999,74.95739471601259,74.72586819236214,2408.1323013425927,2406.2972573571433,50.975462962962965,51.00904761904763,544172046.2962962,536093680.95238096,70.34333333333333,2.8967614100347747,69.52833333333334,4.389460172511034,79.07682842079952,2.85899144510484,78.172011058037,4.593559641240972,2261.2823000000003,113.38865715239764,2583.5011666666664,399.9577525578858,55.56666666666666,1.8107088851239064,54.99166666666667,1.5687043486053496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07,31285000,130000,222009000.0,216187000.0,33.71,54.5,61.38,2636.4591,69.98272695994184,7,3,2007,0,65.12,64.78399999999999,75.16825965472428,74.72586819236214,2103.5052,2406.2972573571433,54.8,51.00904761904763,280671000.0,536093680.95238096,69.72,4.305415194844743,69.52833333333334,4.389460172511034,78.2125729716691,4.556606349226106,78.172011058037,4.593559641240972,2350.10795,162.97789987628045,2583.5011666666664,399.9577525578858,55.51666666666667,1.8400181158528466,54.99166666666667,1.5687043486053496,-5.743243243243246,0.0,-6.89856691986952,0.0,25.336466960005623,0.0,-6.826976229961302,0.0
2007-08,32859000,225000,254104000.0,215958000.0,34.19,53.3,64.39,2531.4276,72.25745844832372,8,3,2007,0,72.91,64.78399999999999,81.465324923125,74.72586819236214,2208.9925,2406.2972573571433,55.1,51.00904761904763,249005000.0,536093680.95238096,68.3,4.445613568451489,69.52833333333334,4.389460172511034,76.67792855920221,4.7867629981272755,78.172011058037,4.593559641240972,2403.847133333333,160.27777483845506,2583.5011666666664,399.9577525578858,55.21666666666667,2.055642640797925,54.99166666666667,1.5687043486053496,-11.685639829927307,0.0,-11.302804577886738,0.0,14.596477806058662,0.0,-4.3636363636363695,0.0
2007-09,32358000,135000,227836000.0,226305000.0,34.21,54.0,65.87,2793.5886,73.9962327822993,9,3,2007,0,69.62,64.78399999999999,78.6260616030648,74.72586819236214,2309.4022000000004,2406.2972573571433,53.1,51.00904761904763,217339000.0,536093680.95238096,67.675,4.486338150429588,69.52833333333334,4.389460172511034,75.90629042240796,4.7830788703415665,78.172011058037,4.593559641240972,2484.5448666666666,215.5693141206105,2583.5011666666664,399.9577525578858,55.36666666666667,1.8970151993768172,54.99166666666667,1.5687043486053496,-5.3863832232117215,0.0,-5.88841501961358,0.0,20.965875931009315,0.0,-2.424415288077586,0.0
2007-10,34094000,208000,253082000.0,235707000.0,34.17,56.1,71.15,3230.0901000000003,79.675500758964,10,4,2007,0,72.84,64.78399999999999,80.90712148843059,74.72586819236214,2291.3077,2406.2972573571433,56.1,51.00904761904763,178575000.0,536093680.95238096,67.39333333333333,4.136629868222034,69.52833333333334,4.389460172511034,75.70102030083021,4.546098055980938,78.172011058037,4.593559641240972,2641.0086,347.5521081004166,2583.5011666666664,399.9577525578858,55.36666666666667,1.8970151993768172,54.99166666666667,1.5687043486053496,-2.320153761669408,0.0,-1.5222649215652861,0.0,40.97146795255831,0.0,-2.0074562661313355,0.0
