year_month,thai_production,domestic_consumption,import_volume,export_volume,stock,exchange_rate_usd,china_pmi,thai_price,oil_price_thb,world_price_thb_kg,month,quarter,year,is_season,thai_price_ma3,thai_price_std3,thai_price_ma6,thai_price_std6,thai_price_ma12,thai_price_std12,world_price_thb_kg_ma3,world_price_thb_kg_std3,world_price_thb_kg_ma6,world_price_thb_kg_std6,world_price_thb_kg_ma12,world_price_thb_kg_std12,oil_price_thb_ma3,oil_price_thb_std3,oil_price_thb_ma6,oil_price_thb_std6,oil_price_thb_ma12,oil_price_thb_std12,china_pmi_ma3,china_pmi_std3,china_pmi_ma6,china_pmi_std6,china_pmi_ma12,china_pmi_std12,thai_price_pct1,thai_price_pct3,thai_price_pct6,thai_price_pct12,world_price_thb_kg_pct1,world_price_thb_kg_pct3,world_price_thb_kg_pct6,world_price_thb_kg_pct12,oil_price_thb_pct1,oil_price_thb_pct3,oil_price_thb_pct6,oil_price_thb_pct12,exchange_rate_usd_pct1,exchange_rate_usd_pct3,exchange_rate_usd_pct6,exchange_rate_usd_pct12,thai_production_pct1,thai_production_pct3,thai_production_pct6,thai_production_pct12,net_export,supply_demand_balance,stock_consumption_ratio,production_growth,thai_price_lag1,thai_price_lag3,thai_price_lag6,thai_price_lag12,world_price_thb_kg_lag1,world_price_thb_kg_lag3,world_price_thb_kg_lag6,world_price_thb_kg_lag12,oil_price_thb_lag1,oil_price_thb_lag3,oil_price_thb_lag6,oil_price_thb_lag12,china_pmi_lag1,china_pmi_lag3,china_pmi_lag6,china_pmi_lag12,thai_production_lag1,thai_production_lag3,thai_production_lag6,thai_production_lag12,stock_lag1,stock_lag3,stock_lag6,stock_lag12,exchange_rate_usd_lag1,exchange_rate_usd_lag3,exchange_rate_usd_lag6,exchange_rate_usd_lag12,net_export_lag1,net_export_lag3,net_export_lag6,net_export_lag12,supply_demand_balance_lag1,supply_demand_balance_lag3,supply_demand_balance_lag6,supply_demand_balance_lag12,stock_consumption_ratio_lag1,stock_consumption_ratio_lag3,stock_consumption_ratio_lag6,stock_consumption_ratio_lag12,production_growth_lag1,production_growth_lag3,production_growth_lag6,production_growth_lag12
2007-08,336895000,32859000,225000,254104000.0,215958000.0,34.19,53.3,64.39,2531.4276,72.25745844832372,8,3,2007,0,65.29,4.429119551333013,68.3,4.445613568451489,69.52833333333334,4.389460172511034,72.84344653250852,3.1942833451950756,76.67792855920221,4.7867629981272755,78.172011058037,4.593559641240972,2535.4489,99.06078457426871,2403.847133333333,160.27777483845506,2583.5011666666664,399.9577525578858,54.5,1.2000000000000068,55.21666666666667,2.055642640797925,54.99166666666667,1.5687043486053496,4.903877484522634,-9.906254372463973,-11.685639829927307,0.0,3.250418477810868,-11.885498797191552,-11.302804577886738,0.0,-3.9838091931712505,14.232746887198356,14.596477806058662,0.0,1.4239098190447885,-1.2420566146736034,-4.3636363636363695,0.0,60.44223469966043,95.6951084209976,25.769035495094595,0.0,253879000.0,50157000.0,6.572263306856569,60.44223469966043,61.38,71.47,72.91,64.78399999999999,69.98272695994184,82.00404866619239,81.465324923125,74.72586819236214,2636.4591,2216.0262,2208.9925,2406.297257357143,54.5,58.6,55.1,51.00904761904763,209979000.0,172153000.0,267868000.0,355474190.47619045,216187000.0,209215000.0,249005000.0,536093680.95238096,33.71,34.62,35.75,32.973073809523804,221879000.0,178012000.0,237935000.0,301211654.7619048,-43185000.0,-38764000.0,3143000.0,945873.8095238095,6.910244526130733,6.358152256495973,9.294699514744307,10.001833385915292,-17.705638903259178,4.046344087321252,-18.566303885207024,3.395604042024923
2007-09,259830000,32358000,135000,227836000.0,226305000.0,34.21,54.0,65.87,2793.5886,73.9962327822993,9,3,2007,0,63.88,2.288034090655225,67.675,4.486338150429588,69.52833333333334,4.389460172511034,72.07880606352163,2.0127083128140026,75.90629042240796,4.7830788703415665,78.172011058037,4.593559641240972,2653.8251,131.94044469854404,2484.5448666666666,215.5693141206105,2583.5011666666664,399.9577525578858,53.93333333333334,0.6027713773341885,55.36666666666667,1.8970151993768172,54.99166666666667,1.5687043486053496,2.2984935548998386,-6.034236804564896,-5.3863832232117215,0.0,2.4063596635067075,-3.0068380793541905,-5.88841501961358,0.0,10.356251152511732,14.56364262690386,20.965875931009315,0.0,0.05849663644341696,-0.8405797101449286,-2.424415288077586,0.0,-22.87507977262946,1.8318205333207827,5.274033377496323,0.0,227701000.0,-229000.0,6.993788244020026,-22.87507977262946,64.39,70.1,69.62,64.78399999999999,72.25745844832372,76.29015418926,78.6260616030648,74.72586819236214,2531.4276,2438.46,2309.4022000000004,2406.297257357143,53.3,55.7,53.1,51.00904761904763,336895000.0,255156000.0,246813000.0,355474190.47619045,215958000.0,166030000.0,217339000.0,536093680.95238096,34.19,34.5,35.06,32.973073809523804,253879000.0,192137000.0,230291000.0,301211654.7619048,50157000.0,30640000.0,-15195000.0,945873.8095238095,6.572263306856569,5.127706229346181,6.852445061008292,10.001833385915292,60.44223469966043,48.21466950909947,-7.8602147326295,3.395604042024923
2007-10,297315000,34094000,208000,253082000.0,235707000.0,34.17,56.1,71.15,3230.0901000000003,79.675500758964,10,4,2007,0,67.13666666666667,3.553552213396278,67.39333333333333,4.136629868222034,69.52833333333334,4.389460172511034,75.30973066319568,3.879535467417664,75.70102030083021,4.546098055980938,78.172011058037,4.593559641240972,2851.7021,352.93796393736005,2641.0086,347.5521081004166,2583.5011666666664,399.9577525578858,54.46666666666667,1.4571661996263,55.36666666666667,1.8970151993768172,54.99166666666667,1.5687043486053496,8.015788674662216,15.917236884978836,-2.320153761669408,0.0,7.675077180447021,13.85023736581501,-1.5222649215652861,0.0,15.625117456450122,22.516222610849535,40.97146795255831,0.0,-0.11692487576732136,1.3645802432512566,-2.0074562661313355,0.0,14.426740561136132,41.5927307016416,79.69212730723206,0.0,252874000.0,10347000.0,6.913445180970259,14.426740561136132,65.87,61.38,72.84,64.78399999999999,73.9962327822993,69.98272695994184,80.90712148843059,74.72586819236214,2793.5886,2636.4591,2291.3077,2406.297257357143,54.0,54.5,56.1,51.00904761904763,259830000.0,209979000.0,165458000.0,355474190.47619045,226305000.0,216187000.0,178575000.0,536093680.95238096,34.21,33.71,34.87,32.973073809523804,227701000.0,221879000.0,180001000.0,301211654.7619048,-229000.0,-43185000.0,-42331000.0,945873.8095238095,6.993788244020026,6.910244526130733,6.426335108680005,10.001833385915292,-22.87507977262946,-17.705638903259178,-32.96220215304705,3.395604042024923
2007-11,253078000,31261000,228000,212643000.0,230390000.0,33.9,53.2,75.92,3007.269,84.164791833936,11,4,2007,0,70.98,5.02715625378801,68.135,5.260094105622063,69.52833333333334,4.389460172511034,79.2788417917331,5.0958710785172965,76.06114416212081,5.185830010522807,78.172011058037,4.593559641240972,3010.3159,218.26670056439872,2772.8824,301.04975826762495,2583.5011666666664,399.9577525578858,54.43333333333334,1.4977761292440694,54.46666666666667,1.214358541233467,54.99166666666667,1.5687043486053496,6.70414617006323,17.906507221618263,6.226388694557161,0.0,5.634468603533582,16.479037100547945,2.6349225469820103,0.0,-6.898293642025665,18.797353714560106,35.70548037744319,0.0,-0.7901668129938644,-0.8482012284293683,-2.0797227036395083,0.0,-14.878832214990833,-24.87926505290966,47.00760370135868,0.0,212415000.0,9402000.0,7.36988580019833,-14.878832214990833,71.15,64.39,71.47,64.78399999999999,79.675500758964,72.25745844832372,82.00404866619239,74.72586819236214,3230.0901000000003,2531.4276,2216.0262,2406.297257357143,56.1,53.3,58.6,51.00904761904763,297315000.0,336895000.0,172153000.0,355474190.47619045,235707000.0,215958000.0,209215000.0,536093680.95238096,34.17,34.19,34.62,32.973073809523804,252874000.0,253879000.0,178012000.0,301211654.7619048,10347000.0,50157000.0,-38764000.0,945873.8095238095,6.913445180970259,6.572263306856569,6.358152256495973,10.001833385915292,14.426740561136132,60.44223469966043,4.046344087321252,3.395604042024923
2007-12,262520000,29622000,253000,238468000.0,230390000.0,33.71,55.4,73.57,3235.4858000000004,83.52645138818198,12,4,2007,0,73.54666666666667,2.385085602936086,68.71333333333334,5.6923480802447965,69.52833333333334,4.389460172511034,82.45558132702733,2.428683924446288,77.26719369527447,6.02354045422831,78.172011058037,4.593559641240972,3157.6149666666665,130.23137357918804,2905.7200333333335,299.8143851976319,2583.5011666666664,399.9577525578858,54.9,1.513274595042158,54.416666666666664,1.1583033569262728,54.99166666666667,1.5687043486053496,-3.0953635405690294,11.689691817215708,4.950071326676175,0.0,-0.7584411864446916,12.879329457110433,9.485230795274369,0.0,7.588838909987783,15.818263290450151,32.68562125275791,0.0,-0.5604719764011779,-1.4615609470914892,-2.2898550724637645,0.0,3.7308655829427995,1.0352923065080955,2.8860775368793945,0.0,238215000.0,-5317000.0,7.777665248801567,3.7308655829427995,75.92,65.87,70.1,64.78399999999999,84.164791833936,73.9962327822993,76.29015418926,74.72586819236214,3007.269,2793.5886,2438.46,2406.297257357143,53.2,54.0,55.7,51.00904761904763,253078000.0,259830000.0,255156000.0,355474190.47619045,230390000.0,226305000.0,166030000.0,536093680.95238096,33.9,34.21,34.5,32.973073809523804,212415000.0,227701000.0,192137000.0,301211654.7619048,9402000.0,-229000.0,30640000.0,945873.8095238095,7.36988580019833,6.993788244020026,5.127706229346181,10.001833385915292,-14.878832214990833,-22.87507977262946,48.21466950909947,3.395604042024923
2008-01,325388000,32715000,228000,262799000.0,260492000.0,33.19,55.3,77.75,3045.1825,87.07850177628137,1,1,2008,0,75.74666666666667,2.0953838152789244,71.44166666666668,5.389524716212607,70.58083333333333,4.736802639167502,84.92324833279979,1.8935964948744668,80.11648949799773,5.931316704280608,79.16453123483342,5.139778831102216,3095.9791,122.2945128745719,2973.8406,271.49555710120046,2661.974275,389.4617991416242,54.63333333333333,1.2423096769056179,54.550000000000004,1.2144957801491143,55.03333333333334,1.5697905670000774,5.681663721625663,9.276177090653537,26.669925057021814,19.39496314496314,4.252605407108145,9.291439585316287,24.428563388398917,15.84477567561795,-5.881753522144972,-5.72453381408774,15.502740019748451,44.76705358275319,-1.5425689706318746,-2.868012876792525,-1.5425689706318746,-8.264234383637369,23.94788968459547,9.44217412508619,54.96216288295497,-1.0798321882410145,262571000.0,30102000.0,7.962463701665903,23.94788968459547,73.57,71.15,61.38,65.12,83.52645138818198,79.675500758964,69.98272695994184,75.16825965472428,3235.4858000000004,3230.0901000000003,2636.4591,2103.5052,55.4,56.1,54.5,54.8,262520000.0,297315000.0,209979000.0,328940000.0,230390000.0,235707000.0,216187000.0,280671000.0,33.71,34.17,33.71,36.18,238215000.0,252874000.0,221879000.0,267512000.0,-5317000.0,10347000.0,-43185000.0,30776000.0,7.777665248801567,6.913445180970259,6.910244526130733,9.156694506068119,3.7308655829427995,14.426740561136132,-17.705638903259178,3.395604042024923
2008-02,273052000,35305000,249000,241670000.0,256818000.0,32.62,53.0,81.25,3322.0208,91.0097843711056,2,1,2008,0,77.52333333333333,3.845014087533719,74.25166666666667,5.3728145944808565,71.27583333333334,5.6360857763866425,87.20491251185632,3.7432676752911616,83.2418771517947,5.902436877529305,79.95990285549847,6.164528801913874,3200.8963666666664,141.6233835228554,3105.606133333333,194.87249271448638,2754.726633333333,404.03851637533745,54.56666666666666,1.357694123627757,54.5,1.2806248474865716,54.85833333333334,1.675197862578591,4.5016077170418,7.02054794520548,26.184190091629134,11.438760115210545,4.514641977791856,8.132845561687274,25.952097299675934,11.715977880143802,9.091024922151615,10.466366660248895,31.231120336998774,50.38624169163091,-1.7173847544441068,-3.775811209439528,-4.591985960807254,-8.755244755244762,-16.084182575878646,7.892428421277242,-18.950414817673167,1.9352815565875758,241421000.0,-3674000.0,7.274267100977199,-16.084182575878646,77.75,75.92,64.39,72.91,87.07850177628137,84.164791833936,72.25745844832372,81.465324923125,3045.1825,3007.269,2531.4276,2208.9925,55.3,53.2,53.3,55.1,325388000.0,253078000.0,336895000.0,267868000.0,260492000.0,230390000.0,215958000.0,249005000.0,33.19,33.9,34.19,35.75,262571000.0,212415000.0,253879000.0,237935000.0,30102000.0,9402000.0,50157000.0,3143000.0,7.962463701665903,7.36988580019833,6.572263306856569,9.294699514744307,23.94788968459547,-14.878832214990833,60.44223469966043,-18.566303885207024
2008-03,251408000,36471000,423000,225728000.0,246450000.0,31.45,53.4,79.25,3194.691,87.808372047869,3,1,2008,0,79.41666666666667,1.755942292141917,76.48166666666667,3.7210021051682367,72.07833333333333,6.049324279820362,88.63221939841866,2.0911214820875226,85.543900362723,3.9438274838756455,80.72509539256548,6.542231128996935,3187.2981,138.56714009651958,3172.4565333333335,121.36206867421718,2828.5007,396.07870979997205,53.9,1.228820572744459,54.400000000000006,1.349073756323206,54.88333333333333,1.64859903793457,-2.4615384615384595,7.7205382628789065,20.312737209655364,13.832232117207699,-3.5176572995518463,5.12642472955922,18.666003316960357,11.678456554469307,-3.8329019493195227,-1.2608554795697335,14.357962371410004,38.33411087943015,-3.5867565910484345,-6.704242064669241,-8.06781642794505,-10.296634341129495,-7.926695281484841,-4.232820356544265,-3.241350113535768,1.8617333770911682,225305000.0,-10368000.0,6.75742370650654,-7.926695281484841,81.25,73.57,65.87,69.62,91.0097843711056,83.52645138818198,73.9962327822993,78.6260616030648,3322.0208,3235.4858000000004,2793.5886,2309.4022000000004,53.0,55.4,54.0,53.1,273052000.0,262520000.0,259830000.0,246813000.0,256818000.0,230390000.0,226305000.0,217339000.0,32.62,33.71,34.21,35.06,241421000.0,238215000.0,227701000.0,230291000.0,-3674000.0,-5317000.0,-229000.0,-15195000.0,7.274267100977199,7.777665248801567,6.993788244020026,6.852445061008292,-16.084182575878646,3.7308655829427995,-22.87507977262946,-7.8602147326295
2008-04,261090000,30104000,637000,208491500.0,236850000.0,31.59,58.4,81.1,3584.2014,89.5576570862688,4,2,2008,0,80.53333333333332,1.1139269874334425,78.14,3.020966732686696,72.76666666666667,6.589676959020242,89.4586045017478,1.6030030495037078,87.19092641727379,2.93819115419879,81.445973359052,7.023038073888046,3366.9710666666665,198.60761008101204,3231.4750833333333,209.26386707668448,2936.2418416666665,412.18609801495813,54.93333333333334,3.008875759039136,54.78333333333333,2.0653490423332013,55.074999999999996,1.9150718002205558,2.3343848580441584,4.308681672025716,13.984539704848897,11.339923119165274,1.9921620200932244,2.8470348701643777,12.403004980414867,10.691933464812742,12.192428000078891,17.70070923499658,10.962892335418118,56.42601820785573,0.4451510333863373,-4.820729135281709,-7.5504828797190555,-9.406366504158292,3.851110545408254,-19.76040911158371,-12.184047222642647,57.79835366074775,207854500.0,23131500.0,7.8677252192399685,3.851110545408254,79.25,77.75,71.15,72.84,87.808372047869,87.07850177628137,79.675500758964,80.90712148843059,3194.691,3045.1825,3230.0901000000003,2291.3077,53.4,55.3,56.1,56.1,251408000.0,325388000.0,297315000.0,165458000.0,246450000.0,260492000.0,235707000.0,178575000.0,31.45,33.19,34.17,34.87,225305000.0,262571000.0,252874000.0,180001000.0,-10368000.0,30102000.0,10347000.0,-42331000.0,6.75742370650654,7.962463701665903,6.913445180970259,6.426335108680005,-7.926695281484841,23.94788968459547,14.426740561136132,-32.96220215304705
2008-05,199669000,34614000,315000,191255000.0,210783000.0,32.09,59.2,89.65,4086.6615,97.8263661026124,5,2,2008,1,83.33333333333333,5.548047704673467,80.42833333333333,5.324736300199884,74.28166666666667,8.165811025058654,91.73079841225007,5.350883911769567,89.4678554620532,4.816917849150061,82.764499812087,8.472937539101673,3621.8513,447.17555774557655,3411.373833333333,375.72620570238774,3092.1281166666668,465.34636409518663,57.0,3.1432467291003396,55.78333333333333,2.5427675211601013,55.125,2.0204072496765244,10.542540073982742,10.33846153846154,18.084826132771337,25.43724639708971,9.23283311038221,7.489943832534762,16.231934958779213,19.294556419801555,14.018746267997106,23.017336315293413,35.89278178972351,84.41395232601494,1.5827793605571516,-1.624770079705684,-5.339233038348068,-7.307914500288836,-23.524838178405915,-26.875100713417222,-21.103770379092612,15.983456576417488,190940000.0,-25885000.0,6.089530247876581,-23.524838178405915,81.1,81.25,75.92,71.47,89.5576570862688,91.0097843711056,84.164791833936,82.00404866619239,3584.2014,3322.0208,3007.269,2216.0262,58.4,53.0,53.2,58.6,261090000.0,273052000.0,253078000.0,172153000.0,236850000.0,256818000.0,230390000.0,209215000.0,31.59,32.62,33.9,34.62,207854500.0,241421000.0,212415000.0,178012000.0,23131500.0,-3674000.0,9402000.0,-38764000.0,7.8677252192399685,7.274267100977199,7.36988580019833,6.358152256495973,3.851110545408254,-16.084182575878646,-14.878832214990833,4.046344087321252
2008-06,212030000,34874000,526000,205949000.0,182498000.0,33.2,53.3,97.94,4648.0,106.986988972952,6,2,2008,1,89.56333333333333,8.420334514336844,84.49,7.7769274138312205,76.60166666666666,10.492970662940639,98.12367072061107,8.718468617306057,93.37794505951486,7.692859552467061,85.32256937739466,10.685523627147765,4106.287633333333,532.1707941748585,3646.7928666666667,611.8211922676074,3276.2564500000003,600.653887428302,56.96666666666666,3.200520790954705,55.43333333333333,2.7427480137020765,54.925000000000004,2.076327614716995,9.24707194645844,23.583596214511047,33.124915046894124,39.71469329529245,9.36416554687396,21.84144458870929,28.087554534957082,40.23695470262068,13.735869731319795,45.49137929145574,43.65694326335783,90.61210764170828,3.45902150202555,5.564387917329094,-1.5129041827350864,-3.7681159420289823,6.190745684107202,-15.66298606249602,-19.232820356544266,-16.901816927683456,205423000.0,-28267000.0,5.233067614842002,6.190745684107202,89.65,79.25,73.57,70.1,97.8263661026124,87.808372047869,83.52645138818198,76.29015418926,4086.6615,3194.691,3235.4858000000004,2438.46,59.2,53.4,55.4,55.7,199669000.0,251408000.0,262520000.0,255156000.0,210783000.0,246450000.0,230390000.0,166030000.0,32.09,31.45,33.71,34.5,190940000.0,225305000.0,238215000.0,192137000.0,-25885000.0,-10368000.0,-5317000.0,30640000.0,6.089530247876581,6.75742370650654,7.777665248801567,5.127706229346181,-23.524838178405915,-7.926695281484841,3.7308655829427995,48.21466950909947
2008-07,285935000,34008000,484000,248629000.0,186280000.0,33.5,52.0,98.85,4156.68,107.03978609456,7,3,2008,0,95.48,5.069388523283522,88.00666666666666,8.820241871211136,79.72416666666666,11.10862028773011,103.95104705670813,5.304194988507676,96.70482577922797,8.677033402250947,88.41065763861285,11.192025709441614,4297.113833333334,305.8863744171666,3832.0424499999995,559.2443586207776,3402.941525,613.6220110506702,54.833333333333336,3.837099599089577,54.88333333333333,3.0844232307948074,54.71666666666667,2.241684972325843,0.9291402899734402,21.886559802712704,27.13826366559484,61.04594330400781,0.04934910507794488,19.52052965326132,22.923320809494818,52.95172215256723,-10.570567986230628,15.972277673905278,36.50019333816612,57.661463437836005,0.9036144578313143,6.046217157328271,0.9340162699608356,-0.6229605458320964,34.85591661557326,9.51587575165651,-12.124909339004509,36.173141123636164,248145000.0,3782000.0,5.477534697718184,34.85591661557326,97.94,81.1,77.75,61.38,106.986988972952,89.5576570862688,87.07850177628137,69.98272695994184,4648.0,3584.2014,3045.1825,2636.4591,53.3,58.4,55.3,54.5,212030000.0,261090000.0,325388000.0,209979000.0,182498000.0,236850000.0,260492000.0,216187000.0,33.2,31.59,33.19,33.71,205423000.0,207854500.0,262571000.0,221879000.0,-28267000.0,23131500.0,30102000.0,-43185000.0,5.233067614842002,7.8677252192399685,7.962463701665903,6.910244526130733,6.190745684107202,3.851110545408254,23.94788968459547,-17.705638903259178
2008-08,283475000,33508000,356000,253758000.0,182845000.0,33.85,48.4,89.97,3908.321,99.063618313407,8,3,2008,0,95.58666666666666,4.885410252305541,89.46,8.179393620556443,81.85583333333334,10.325292387084591,104.36346446030633,4.589877315311966,98.0471314362782,8.231333331074245,90.64450429403645,10.315719297121305,4237.667,376.4311708493278,3929.75915,500.4350659603828,3517.6826416666663,562.4408900611015,51.23333333333333,2.5383721817994847,54.11666666666667,4.062716660889197,54.30833333333333,2.8789070948201947,-8.983308042488613,0.35694366982710335,10.732307692307685,39.7266656313092,-7.451591667145873,1.2647430954317862,8.849415475440248,37.09812168975499,-5.974936728350522,-4.363965549874882,17.64890213812027,54.39197234003452,1.0447761194029903,5.48457463384231,3.7706928264868322,-0.9944428195378663,-0.8603353909105271,41.97246442862939,3.8172216281147975,-15.856572522596057,253402000.0,-3435000.0,5.456756595439895,-0.8603353909105271,98.85,89.65,81.25,64.39,107.03978609456,97.8263661026124,91.0097843711056,72.25745844832372,4156.68,4086.6615,3322.0208,2531.4276,52.0,59.2,53.0,53.3,285935000.0,199669000.0,273052000.0,336895000.0,186280000.0,210783000.0,256818000.0,215958000.0,33.5,32.09,32.62,34.19,248145000.0,190940000.0,241421000.0,253879000.0,3782000.0,-25885000.0,-3674000.0,50157000.0,5.477534697718184,6.089530247876581,7.274267100977199,6.572263306856569,34.85591661557326,-23.524838178405915,-16.084182575878646,60.44223469966043
2008-09,301141000,33813000,414000,256884000.0,193703000.0,34.28,48.4,89.49,3449.9392000000003,97.2718518349336,9,3,2008,0,92.76999999999998,5.270901251209213,91.16666666666667,6.523694249937384,83.82416666666667,9.189766500479344,101.1250854143002,5.2000355653730495,99.62437806745565,6.627471087367022,92.58413921508931,9.005883422229722,3838.3134000000005,358.53373291710807,3972.3005166666667,431.5598841922721,3572.378525,515.5856881263798,49.6,2.078460969082701,53.28333333333333,4.701666371263134,53.84166666666666,3.3489369638556603,-0.533511170390133,-8.627731264039207,12.921135646687688,35.858509184757835,-1.8087028406380323,-9.080671613699254,10.777423116221252,31.45514058953833,-11.728355987136151,-25.775834767641992,7.9897617641268015,23.49489112319545,1.2703101920236382,3.2530120481927716,8.998410174880767,0.20461853259281515,6.231942852103356,42.027543272178455,19.78178896455165,15.899241811953967,256470000.0,10858000.0,5.728654659450507,6.231942852103356,89.97,97.94,79.25,65.87,99.063618313407,106.986988972952,87.808372047869,73.9962327822993,3908.321,4648.0,3194.691,2793.5886,48.4,53.3,53.4,54.0,283475000.0,212030000.0,251408000.0,259830000.0,182845000.0,182498000.0,246450000.0,226305000.0,33.85,33.2,31.45,34.21,253402000.0,205423000.0,225305000.0,227701000.0,-3435000.0,-28267000.0,-10368000.0,-229000.0,5.456756595439895,5.233067614842002,6.75742370650654,6.993788244020026,-0.8603353909105271,6.190745684107202,-7.926695281484841,-22.87507977262946
2008-10,329549000,35003000,449000,249667000.0,239031000.0,34.43,51.2,57.5,2334.6983,66.09621159709502,10,4,2008,0,78.98666666666666,18.609546833099746,87.23333333333333,15.179413251725709,82.68666666666667,11.464452041247315,87.47722724847854,18.538162786313958,95.71413715259332,15.17020788616291,91.45253178493357,11.32886994507258,3230.986166666667,809.337644987072,3764.0499999999997,800.2662179228571,3497.762541666667,623.1879224563256,49.333333333333336,1.616580753731018,52.083333333333336,4.0012081508797595,53.43333333333334,3.347273879479,-35.74701083919991,-41.83105715730905,-29.09987669543772,-19.184820801124392,-32.05001205358193,-38.2507999981381,-26.197029101123004,-17.04324294484114,-32.32639288251805,-43.83261882078967,-34.861408736685384,-27.72033510768013,0.4375729288214725,2.7761194029850778,8.990186767964548,0.7609013754755534,9.433454760394632,15.253116967142887,26.22046037764756,10.841699880598021,249218000.0,45328000.0,6.828871810987629,9.433454760394632,89.49,98.85,81.1,71.15,97.2718518349336,107.03978609456,89.5576570862688,79.675500758964,3449.9392000000003,4156.68,3584.2014,3230.0901000000003,48.4,52.0,58.4,56.1,301141000.0,285935000.0,261090000.0,297315000.0,193703000.0,186280000.0,236850000.0,235707000.0,34.28,33.5,31.59,34.17,256470000.0,248145000.0,207854500.0,252874000.0,10858000.0,3782000.0,23131500.0,10347000.0,5.728654659450507,5.477534697718184,7.8677252192399685,6.913445180970259,6.231942852103356,34.85591661557326,3.851110545408254,14.426740561136132
2008-11,182589000,30183000,338000,161349000.0,230426000.0,35.1,44.6,50.11,1910.493,57.96063221691599,11,4,2008,0,65.7,20.931461965185328,80.64333333333333,21.278185699600098,80.53583333333334,14.78853576766525,73.77623188298155,20.75042242118759,89.06984817164393,21.47865081406986,89.26885181684857,14.842049972354891,2565.0435,795.1527111479198,3401.3552500000005,1071.8619855181119,3406.3645416666664,765.7790213114382,48.06666666666666,3.3126021996813284,49.650000000000006,3.1583223394707405,52.71666666666667,4.210988511314677,-12.852173913043474,-44.30365677448038,-44.10485220301171,-33.996311907270815,-12.308692410045175,-41.49150495033781,-40.75152279895615,-31.134348515615596,-18.16959818748316,-51.11729563666854,-53.25052001493151,-36.4708311760604,1.9459773453383677,3.692762186115206,9.379869118105312,3.539823008849563,-44.59427884775861,-35.58902901490432,-8.554157130050232,-27.852677830550267,161011000.0,-8605000.0,7.634297452208196,-44.59427884775861,57.5,89.97,89.65,75.92,66.09621159709502,99.063618313407,97.8263661026124,84.164791833936,2334.6983,3908.321,4086.6615,3007.269,51.2,48.4,59.2,53.2,329549000.0,283475000.0,199669000.0,253078000.0,239031000.0,182845000.0,210783000.0,230390000.0,34.43,33.85,32.09,33.9,249218000.0,253402000.0,190940000.0,212415000.0,45328000.0,-3435000.0,-25885000.0,9402000.0,6.828871810987629,5.456756595439895,6.089530247876581,7.36988580019833,9.433454760394632,-0.8603353909105271,-23.524838178405915,-14.878832214990833
2008-12,218583000,26797000,39000,170530000.0,251721000.0,35.03,38.8,33.91,1562.3380000000002,42.75030411768687,12,4,2008,0,47.173333333333325,12.066069506402428,69.97166666666666,26.32614245700775,77.23083333333334,20.000177025731688,55.6023826438993,11.850268131808091,78.36373402909975,26.242763385882903,85.87083954430729,20.03540772483604,1935.8431,386.8036697493021,2887.0782500000005,1094.11305601525,3266.935558333333,933.6410469274134,44.86666666666667,6.204299584428022,47.23333333333333,4.88330489183981,51.333333333333336,5.709375596067371,-32.32887647176212,-62.10749804447424,-65.3767612824178,-53.90784287073536,-26.242515855080573,-56.05069368861979,-60.04158587125503,-48.8182445115398,-18.223306759040714,-54.714042496748924,-66.3868760757315,-51.71241363507143,-0.19943019943019502,2.18786464410734,5.5120481927710685,3.915752002373174,19.713126201468878,-27.415064703909465,3.0906003867377185,-16.736629590126462,170491000.0,21295000.0,9.393626152181215,19.713126201468878,50.11,89.49,97.94,73.57,57.96063221691599,97.2718518349336,106.986988972952,83.52645138818198,1910.493,3449.9392000000003,4648.0,3235.4858000000004,44.6,48.4,53.3,55.4,182589000.0,301141000.0,212030000.0,262520000.0,230426000.0,193703000.0,182498000.0,230390000.0,35.1,34.28,33.2,33.71,161011000.0,256470000.0,205423000.0,238215000.0,-8605000.0,10858000.0,-28267000.0,-5317000.0,7.634297452208196,5.728654659450507,5.233067614842002,7.777665248801567,-44.59427884775861,6.231942852103356,6.190745684107202,3.7308655829427995
