year_month,domestic_consumption,import_volume,export_volume,stock,exchange_rate_usd,china_pmi,thai_price,oil_price_thb,world_price_thb_kg,month,quarter,year,is_season,thai_price_lag1,thai_price_lag3,thai_price_lag6,thai_price_lag12,world_price_thb_kg_lag1,world_price_thb_kg_lag3,world_price_thb_kg_lag6,world_price_thb_kg_lag12,oil_price_thb_lag1,oil_price_thb_lag3,oil_price_thb_lag6,oil_price_thb_lag12,china_pmi_lag1,china_pmi_lag3,china_pmi_lag6,china_pmi_lag12,stock_lag1,stock_lag3,stock_lag6,stock_lag12,thai_price_ma3,thai_price_std3,thai_price_ma6,thai_price_std6,thai_price_ma12,thai_price_std12,world_price_thb_kg_ma3,world_price_thb_kg_std3,world_price_thb_kg_ma6,world_price_thb_kg_std6,world_price_thb_kg_ma12,world_price_thb_kg_std12,oil_price_thb_ma3,oil_price_thb_std3,oil_price_thb_ma6,oil_price_thb_std6,oil_price_thb_ma12,oil_price_thb_std12,china_pmi_ma3,china_pmi_std3,china_pmi_ma6,china_pmi_std6,china_pmi_ma12,china_pmi_std12,thai_price_pct1,thai_price_pct3,thai_price_pct6,world_price_thb_kg_pct1,world_price_thb_kg_pct3,world_price_thb_kg_pct6,oil_price_thb_pct1,oil_price_thb_pct3,oil_price_thb_pct6,exchange_rate_usd_pct1,exchange_rate_usd_pct3,exchange_rate_usd_pct6
2011-06,43302000,365000,217758000.0,236291000.0,30.52,52.0,135.29,2912.2184,150.58565206626477,6,2,2011,1,139.62,139.52,128.7,107.26,154.61609152413598,166.1874113151142,142.9495234409088,115.7806242944626,3103.594,3273.1024,2752.3656,2455.7061,52.9,52.2,55.2,53.9,216332000.0,320221000.0,227252000.0,191715000.0,143.36666666666667,10.465688383155886,149.06666666666666,13.992944889002622,128.18416666666667,25.229995661129244,160.38198408020358,13.627113991280801,167.6845688232528,14.38458576556874,142.96326533524547,29.38221904178125,3146.8494000000005,258.98222631593205,3084.8129833333332,229.70717919317744,2793.2972833333333,356.9952826115711,52.76666666666667,0.7094598884597618,52.88333333333333,0.7139094246936007,53.0,1.2336199503161838,-3.1012748889843955,-3.0318233944954254,5.120435120435118,-2.606739970038663,-9.388051191956015,5.34183566446973,-6.166257571061163,-11.02574731545215,5.807833087290448,0.9927200529450619,-0.48907727420933744,1.3280212483399723
2011-07,43319000,147000,236515000.0,261335000.0,30.11,50.9,127.05,2881.527,142.48054340269638,7,3,2011,0,135.29,155.19,151.99,97.76,150.58565206626477,175.94420865021,168.7318520592078,105.8870644599768,2912.2184,3424.7358,2818.2482999999997,2553.2430000000004,52.0,53.4,53.9,52.1,236291000.0,241702000.0,328076000.0,177591000.0,133.98666666666665,6.385548788735858,144.91,16.441003619000817,130.625,23.367117338843208,149.22742899769904,6.180732924170179,163.30935071383422,17.628797079941965,146.01272191380545,26.985620544750653,2965.7798000000003,120.33310350737445,3095.3594333333335,216.06852424081455,2820.6542833333333,349.425438586425,51.93333333333334,1.0016652800877919,52.383333333333326,0.8886319072970166,52.900000000000006,1.3557956402724332,-6.09062014930889,-18.13261163734777,-16.408974274623333,-5.382391052768931,-19.019475266754494,-15.558004215647358,-1.0538838707976117,-15.861334471406519,2.245320257977279,-1.3433813892529511,0.1663339986693213,-1.5047432122996418
2011-08,45344000,332000,269701000.0,319238000.0,29.88,50.7,124.94,2653.6428,139.72741434352798,8,3,2011,0,127.05,139.62,172.79,96.9,142.48054340269638,154.61609152413598,190.04219732458398,105.285863726175,2881.527,3103.594,2976.979,2283.46,50.9,52.9,52.9,51.2,261335000.0,216332000.0,386805000.0,210173000.0,129.09333333333333,5.469189458532858,136.935,10.875989610145737,132.96166666666667,20.966786216357004,144.26453660416306,5.644670532282264,154.9235535503249,13.952816941987196,148.8828511319182,23.917352564635046,2815.7960666666672,141.26482904987276,3041.4700666666668,281.8167170225209,2851.5028500000003,312.0278305156015,51.199999999999996,0.7000000000000194,52.01666666666667,1.0684880283214773,52.85833333333333,1.4189998611911574,-1.660763478945293,-10.514252972353532,-27.69257480178251,-1.9322842217039837,-9.629448677587249,-26.47558473296354,-7.908452705804947,-14.497746805799983,-10.861218705271348,-0.7638658253072084,-1.1250827266710783,-2.6710097719869763
2011-09,46604000,179000,270755000.0,331874000.0,30.32,50.9,123.33,2401.344,138.0014714909952,9,3,2011,0,124.94,135.29,139.52,100.21,139.72741434352798,150.58565206626477,166.1874113151142,108.95073404363279,2653.6428,2912.2184,3273.1024,2466.2748,50.7,52.0,52.2,51.7,319238000.0,236291000.0,320221000.0,252395000.0,125.10666666666667,1.865591952525444,134.23666666666668,12.051253323479047,134.88833333333332,18.61382713484936,140.06980974573986,2.2590810645327895,150.2258969129717,14.145529366308644,151.3037459191984,20.771350373216187,2645.5046,240.1949231284382,2896.177,353.99172363743963,2846.09195,319.78203412492235,50.833333333333336,0.11547005383805599,51.800000000000004,1.15238882327088,52.791666666666664,1.4951183190231816,-1.288618536897712,-8.840269051666782,-11.604071100917434,-1.2352213491115371,-8.356825768322174,-16.960333879125532,-9.507639837584769,-17.542448052659786,-26.634009372881216,1.4725568942436373,-0.6553079947575369,-1.1411803064884318
2011-10,40791000,308000,256938000.0,312055000.0,30.9,51.2,108.01,2879.571,125.48641196975397,10,4,2011,0,123.33,127.05,155.19,104.34,138.0014714909952,142.48054340269638,175.94420865021,117.62510297258159,2401.344,2881.527,3424.7358,2440.4571,50.9,50.9,53.4,53.8,331874000.0,261335000.0,241702000.0,202415000.0,118.75999999999999,9.344511758245877,126.37333333333333,10.990608111777302,135.19416666666666,18.089027039683973,134.4050992680924,7.771869596609395,141.81626413289572,10.264102697586987,151.95885500229608,19.709417883102432,2644.8526,239.2346475623385,2805.3161999999998,244.0974995110556,2882.6847749999997,293.1612711610538,50.93333333333334,0.25166114784241833,51.43333333333333,0.8524474568360784,52.574999999999996,1.5238259265891765,-12.421957350198653,-14.986225895316796,-30.401443391971128,-9.068787010765922,-11.927334797503875,-28.67829357246411,19.914972615335415,-0.0678806757667072,-15.918448366148418,1.912928759894461,2.6237130521421514,2.794411177644718
2011-11,34546000,221000,262183000.0,319845000.0,30.96,50.4,87.01,3107.1456000000003,104.39266358664,11,4,2011,0,108.01,124.94,139.62,115.9,125.48641196975397,139.72741434352798,154.61609152413598,128.753482440154,2879.571,2653.6428,3103.594,2514.8889999999997,51.2,50.7,52.9,54.7,312055000.0,319238000.0,216332000.0,180682000.0,106.11666666666667,18.23387324002586,117.605,17.416447111853746,132.78666666666666,22.318435646276008,122.6268490157964,16.985900547327223,133.4456928099797,16.38932903996433,149.92878676450326,23.252901698967328,2796.0202000000004,360.2423167482084,2805.908133333333,244.96823661807352,2932.0394916666664,274.89785097233323,50.833333333333336,0.4041451884327781,51.01666666666667,0.5492419017757907,52.21666666666666,1.4837503669805927,-19.44264419961115,-30.35857211461501,-37.68084801604354,-16.809587629454427,-25.28834511316115,-32.48266557666539,7.903073061924859,17.089820830444857,0.11443507108210849,0.1941747572815622,3.6144578313253017,2.448709463931187
2011-12,38798000,362000,280259000.0,361557000.0,30.21,49.0,86.79,2985.6543,102.2449989302148,12,4,2011,0,87.01,123.33,135.29,128.7,104.39266358664,138.0014714909952,150.58565206626477,142.9495234409088,3107.1456000000003,2401.344,2912.2184,2752.3656,50.4,50.9,52.0,55.2,319845000.0,331874000.0,236291000.0,227252000.0,93.93666666666667,12.188360567907962,109.52166666666666,18.769264681032812,129.29416666666668,25.99276139037489,110.70802482886961,12.843428698501967,125.38891728730472,18.07365948686726,146.53674305527875,27.026306697906072,2990.7903,113.87420038483954,2818.1474500000004,253.04355006862502,2951.480216666667,269.2267803822551,50.199999999999996,1.1135528725660215,50.51666666666667,0.7884584115007384,51.70000000000001,1.4289220348983533,-0.25284450063211006,-29.627827779129156,-35.84891714095646,-2.0572946245813073,-25.91021108286773,-32.101765654790135,-3.910061375945828,24.332636223714733,2.5216481016671066,-2.422480620155043,-0.36279683377308247,-1.0157273918741772
2012-01,42721000,291000,302093000.0,390437000.0,31.51,50.3,97.21,3103.1048,114.2569348901024,1,1,2012,0,86.79,108.01,127.05,151.99,102.2449989302148,125.48641196975397,142.48054340269638,168.7318520592078,2985.6543,2879.571,2881.527,2818.2482999999997,49.0,51.2,50.9,53.9,361557000.0,312055000.0,261335000.0,328076000.0,90.33666666666666,5.953497571456157,104.54833333333335,17.07253281345993,124.72916666666667,26.450781551722883,106.96486580231908,6.405764556621331,120.68498253520573,16.32373224570529,141.99716662451996,27.529659860623713,3065.3015666666665,69.00613981204795,2855.0770833333336,278.9824826789941,2975.218258333334,268.969580438055,49.9,0.7810249675906887,50.416666666666664,0.7678975626125301,51.4,1.296849328880591,12.005991473672072,-9.999074159800026,-23.486816214088947,11.748189237193007,-8.94875939425076,-19.808745698579266,3.9338278380052216,7.7627466035739445,7.689596522954667,4.303210857332007,1.974110032362475,4.649618067087347
2012-02,43821000,180000,294570000.0,390452000.0,30.74,50.5,108.3,3291.3317999999995,123.0375534517008,2,1,2012,0,97.21,87.01,124.94,172.79,114.2569348901024,104.39266358664,139.72741434352798,190.04219732458398,3103.1048,3107.1456000000003,2653.6428,2976.979,50.3,50.4,50.7,52.9,390437000.0,319845000.0,319238000.0,386805000.0,97.43333333333334,10.756738973003532,101.77499999999999,14.208895453201125,119.355,21.97017834164372,113.17982909067268,10.438040934946182,117.90333905323452,13.629499698266063,136.41344630177971,23.381637428934898,3126.6969666666664,154.1983341271229,2961.358583333333,306.9605812045166,3001.414325,284.0423866127648,49.93333333333334,0.8144527815247312,50.38333333333333,0.7574078601825195,51.199999999999996,1.2277103596828425,11.408291328052677,24.4684519020802,-13.318392828557712,7.684976469956939,17.860344994058508,-11.944585799601349,6.065763553973413,5.927826491297972,24.030702248245284,-2.443668676610611,-0.710594315245483,2.878179384203472
2012-03,42722000,284000,288333000.0,328343000.0,30.69,51.0,106.27,3161.6838,120.58239423991861,3,1,2012,0,108.3,86.79,123.33,139.52,123.0375534517008,102.2449989302148,138.0014714909952,166.1874113151142,3291.3317999999995,2985.6543,2401.344,3273.1024,50.5,49.0,50.9,52.2,390452000.0,361557000.0,331874000.0,320221000.0,103.92666666666666,5.904695871366456,98.93166666666667,10.164086612513021,116.58416666666666,21.281737565055003,119.29229419390727,4.530241072791329,115.00015951138842,9.813134164165342,132.61302821218007,21.751751742082092,3185.3734666666664,96.32367887663925,3088.081883333333,142.32714595344754,2992.1294416666665,276.0629436027614,50.6,0.3605551275464654,50.4,0.7720103626244907,51.1,1.1870513506545326,-1.874422899353645,22.444982140799617,-13.83280629206195,-1.995455162188331,17.934760136502724,-12.622385154938865,-3.939074146216426,5.8958433332351845,31.66309366754616,-0.16265452179570206,1.5888778550148919,1.2203166226912865
